,symbol,lexpressionChangeLogFc,pValue,crResult,measurementMethod,measurementType,restrictionPercent,restrictionTime,age,organism,line,sex,tissue,experimentNumber,doi,expressionChangePercent,isoform
15,Neto2,1.534233,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
16,Gdap1,1.425848,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
17,1700001O22Rik,4.305191,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
18,Odc1,1.654565,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
19,Slc30a2,2.651939,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
20,Rasd2,0.823208,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
21,Vldlr,0.923406,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
22,Mast4,0.947736,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
23,Ighm,3.137434,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
24,Dupd1,1.683741,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
25,Actr3b,2.001584,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
26,Slc45a4,0.984045,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
27,Cacna2d4,2.86586,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
28,Gadl1,1.715646,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
29,Sorl1,0.668907,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
30,Cpeb2,1.115489,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
31,Htra4,2.485943,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
32,Cers1,0.982494,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
33,Hipk2,1.166574,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
34,Arhgap20,0.984153,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
35,Slc2a3,2.074479,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
36,Dusp10,1.637915,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
37,Ky,1.305269,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
38,Hspb8,0.762034,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
39,Mib1,1.421095,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
40,Amd-ps3,3.541145,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
41,Srebf1,1.444065,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
42,Sorcs1,2.155973,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
43,Cd276,1.969001,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
44,Relt,1.478636,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
45,Sobp,0.635696,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
46,Gm17131,0.820157,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
47,Kdm5d,1.690252,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
48,Mkl1,1.287513,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
49,Bhlhe40,0.8773,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
50,Tnrc18,0.999444,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
51,Bace1,0.926284,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
52,Tbkbp1,1.527622,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
53,Mettl21c,1.280907,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
54,Gm15446,2.546582,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
55,Pcgf3,0.660487,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
56,Npnt,3.047578,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
57,Tiam1,2.308332,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
58,Sh3bp5,0.772043,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
59,Slc16a10,0.809641,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
60,Gprc5b,0.950081,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
61,Morn4,1.934118,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
62,Vmn1r65,4.4489,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
63,Nmt2,0.994627,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
64,Pkdcc,0.988136,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
65,Gprc5c,1.044077,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
66,Cited4,2.112715,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
67,Fsd2,0.510504,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
68,Rnf150,0.816336,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
69,Xpr1,0.640147,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
70,Psmd8,0.753421,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
71,Slc15a5,5.447204,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
72,Fam131a,0.704428,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
73,Pthlh,2.528076,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
74,Vasp,1.384019,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
75,Ccdc88c,0.685013,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
76,Zfp395,0.861719,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
77,Akap6,0.508119,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
78,Gypc,0.839373,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
79,Ctxn3,0.879624,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
80,Serinc3,0.520844,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
81,Bmpr1a,0.632708,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
82,Atn1,0.584676,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
83,Cecr2,1.022956,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
84,Pde4b,1.061061,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
85,Dst,0.430058,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
86,Eif4ebp2,0.623813,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
87,Arhgap35,0.612098,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
88,Cpeb1,1.127955,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
89,Raph1,0.618498,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
90,Gdf11,0.831011,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
91,Psd3,0.627973,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
92,Cadm1,1.018591,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
93,Pdgfa,0.618313,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
94,5031439G07Rik,0.626154,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
95,Plcd4,0.816766,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
96,Mchr1,3.106082,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
97,Ighg2c,3.288215,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
98,Kansl1l,0.580627,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
99,Mylip,0.694428,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
100,Rasgrp3,0.629423,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
101,Nfatc2,0.958291,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
102,Calm2,0.843644,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
103,Sub1,0.794822,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
104,Cd28,1.747854,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
105,Abhd16a,0.44021,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
106,6430571L13Rik,0.641456,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
107,Cdon,0.70952,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
108,Cachd1,1.067999,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
109,Dyrk2,1.150051,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
110,Irx3,1.62306,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
111,Tdrp,0.9048,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
112,Smtnl2,0.702942,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
113,Abi2,0.916787,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
114,Myo10,0.470771,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
115,Polk,0.93914,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
116,Usf3,0.467265,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
117,Acvr2a,0.575778,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
118,Ddit4l,1.391515,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
119,1110002E22Rik,0.958112,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
120,Serinc2,0.444837,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
121,Plekho1,0.835676,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
122,Wnk1,0.387845,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
123,Mr1,0.519763,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
124,Vwa1,0.992382,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
125,Acsl3,0.958668,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
126,Rcor3,0.581816,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
127,Shc2,1.218607,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
128,Nkain1,0.543112,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
129,Hfe2,0.445684,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
130,Adi1,0.41207,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
131,Igfbp5,1.020652,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
132,Tnfaip2,1.537685,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
133,C7,3.109171,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
134,Zbtb37,0.703335,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
135,Ston2,0.505209,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
136,Cpd,0.426041,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
137,D1Ertd622e,0.642176,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
138,Irx3os,3.69359,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
139,Limd1,0.475831,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
140,Scin,1.172228,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
141,Casp12,1.318085,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
142,Lbx1,0.460525,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
143,Akap11,0.55545,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
144,Fam20b,0.460562,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
145,Trim8,0.633877,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
146,Trim24,0.677106,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
147,Map1b,0.765118,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
148,Hdac9,1.384314,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
149,Osbpl10,1.124834,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
150,Gbp7,0.820209,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
151,Gbp9,1.001277,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
152,Dyrk1a,0.394736,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
153,Six2,0.863189,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
154,Gpc1,0.361298,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
155,2900026A02Rik,0.43523,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
156,C130074G19Rik,0.723251,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
157,Pla2g7,0.721592,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
158,Nsd1,0.379124,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
159,Me1,0.504292,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
160,Samd10,1.280126,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
161,Plcl2,0.505804,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
162,Ttyh2,1.048152,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
163,Arid1a,0.384881,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
164,Arhgap12,0.461358,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
165,Pcnx,0.535995,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
166,Trp53i11,1.831239,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
167,2021-09-09 00:00:00,0.877916,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
168,Scaf4,0.521564,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
169,Mtss1,0.916715,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
170,Irs1,0.590398,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
171,Herc3,0.448881,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
172,Sec14l5,1.168318,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
173,Maf,0.498407,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
174,Gramd4,0.874795,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
175,Tspan15,0.969056,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
176,Vps13d,0.386745,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
177,Kmt2c,0.361593,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
178,Tnfsf10,0.827306,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
179,Ttc3,0.456318,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
180,Stab2,1.172951,0,increase,RNAseq,mRNA,40,20_days,20_weeks,mouse,C57BL/6J,both,muscle,6-8,10.3390/genes12050691,,
