gene_symbol,reference,organism_name,organism_line_id,sex,change_value,p_value,sample,min_age_of_controls,min_age_of_experiment,mean_age_of_controls,mean_age_of_experiment,max_age_of_controls,max_age_of_experiment,age_units,change_type,n_of_controls,n_of_experiment,statistical_method,change_evaluation_by,measurement_method,comment,pmid
LAIR1,10.1002/eji.200636678,human,n/a,all,47.0%,0.002,CD8+ T cells,"0,4",22,n/a,n/a,1,68,years,decreased gene expression,16,25,Mann-Whitney test,protein,flow cytometry,"110 healthy humans of varios age participated in the stuly. The Lair1 gene expression decreases in the CD8 T lymphocytes with age, significant diferences were found between the ages 0 and >20 years. At the same time, these differences were caused by the reduction of the naive T-cells and not by the change in Lair1 expression in the any of the T-cell subpopulations. The Lair1 expression was consistently higher in the naive T-cells, than in the memory T-cells and do not shows any significant changes with time in the any T-cell subpopulation.",n/a
PDGFRA,10.1002/oby.21727,mouse,C57BL/6J,male,30.6%,<0.05,inguinal white adipose tissue,n/a,n/a,4,20,n/a,n/a,months,decreased gene expression,7,7,n/a,number of cells expressing the gene,flow cytometry,Flow cytometry.,n/a
IFNG,10.1006/clim.2000.4894,human,n/a,all,n/a,<0.01,T-cells,n/a,17,n/a,n/a,n/a,62,years,increased gene expression,n/a,50,Spearman coefficient,protein,flow cytometry,The production of IFN-γ in CD8+high T cells is directly correlated with age. 50 individuals were investigated.,n/a
NGB,10.1007/s10072-017-3168-2,mouse,B6CBAF1/J,male,50.0%,<0.05,striatum,n/a,n/a,7,13,n/a,n/a,months,decreased gene expression,4,4,"ANOVA, Tukey's test",protein,immunohistochemistry,n/a,n/a
NGB,10.1007/s10072-017-3168-2,mouse,B6CBAF1/J,female,27.0%,<0.05,striatum,n/a,n/a,7,13,n/a,n/a,months,decreased gene expression,4,4,"ANOVA, Tukey's test",protein,immunohistochemistry,n/a,n/a
NGF,10.1007/s11011-008-9084-7,mouse,ICR,male,166.0%,<0.05,hippocampal CA1 region,n/a,40,8,41,n/a,42,weeks,increased gene expression,5-7,5-7,Dunnett’s test,number of cells expressing the gene,immunohistochemistry,A significant increase in the NGF immunoreactivity was observed in glial cells of the hippocampal CA1 sector from 40-42 to 50-59 weeks of birth.,n/a
NGF,10.1007/s11011-008-9084-7,mouse,ICR,male,71.0%,<0.05,hippocampal CA1 region,n/a,n/a,2,8,n/a,n/a,weeks,increased gene expression,5-7,5-7,Dunnett’s test,number of cells expressing the gene,immunohistochemistry,n/a,n/a
EFEMP1,10.1002/art.39963,mouse,C57BL/6J,all,25.0%,,cartilage,n/a,n/a,4,6,n/a,n/a,months,decreased gene expression,10,10,n/a,number of cells expressing the gene,immunohistochemistry,n/a,n/a
EFEMP1,10.1002/art.39963,mouse,C57BL/6J,all,30.0%,,cartilage,n/a,n/a,4,9,n/a,n/a,months,decreased gene expression,10,10,n/a,number of cells expressing the gene,immunohistochemistry,n/a,n/a
EFEMP1,10.1002/art.39963,mouse,C57BL/6J,all,85.0%,,cartilage,n/a,n/a,4,12,n/a,n/a,months,decreased gene expression,10,7,n/a,number of cells expressing the gene,immunohistochemistry,n/a,n/a
SIRT6,10.1007/s10517-020-04986-4,human,n/a,all,60.6%,<0.01,hippocampus,n/a,n/a,67,81,n/a,n/a,years,decreased gene expression,48,56,n/a,number of cells expressing the gene,immunohistochemistry,n/a,n/a
PCNA,10.1007/s004410050793,rat,F344,male,97.0%,<0.05,liver,n/a,n/a,3,24,n/a,n/a,months,decreased gene expression,3,7,n/a,number of cells expressing the gene,immunohistochemistry,n/a,n/a
PCNA,10.1007/s004410050793,rat,F344,male,54.0%,<0.05,liver,n/a,n/a,3,6,n/a,n/a,months,decreased gene expression,3,3,n/a,number of cells expressing the gene,immunohistochemistry,n/a,n/a
NGF,10.1002/nau.21174,rat,Wistar,female,30.0%,ns,epithelial lining of the urethra,n/a,n/a,3,18,n/a,n/a,months,decreased gene expression,12,12,Spearman coefficient,protein,immunohistochemistry,n/a,n/a
NGF,10.1002/nau.21174,rat,Wistar,female,22.0%,ns,muscular lining of the urethra,n/a,n/a,3,18,n/a,n/a,months,decreased gene expression,12,12,Spearman coefficient,protein,immunohistochemistry,n/a,n/a
FLT1,10.1002/ar.a.10103,rat,Sprague Dawley,male,n/a,,brain vessels,n/a,n/a,1,90,n/a,n/a,days,decreased gene expression,n/a,n/a,Student t-test,number of cells expressing the gene,immunohistochemistry,"A time-course analysis showed that both Flt-1 and Flk-1 were highly expressed in the cerebral vessel of rats on 1, 7, and 14 days after birth, and then declined in adults, consistent with the development of angiogenesis in neonates.",n/a
FLT1,10.1002/ar.a.10103,rat,Sprague Dawley,male,87.0%,<0.05,cingulate cortex,n/a,n/a,1,30,n/a,n/a,days,decreased gene expression,n/a,n/a,Student t-test,number of cells expressing the gene,immunohistochemistry,"In the neurons, Flt-1 was highest in the cerebral cortex and hippocampus of rats on 1-14 days after birth (P1-P14), and then gradually decreased. The results of cell counting showed that the number of Flt-1-positive neurons persisted at the same level in the cingulate cortex from P1 (908 ± 320 cells/mm2) to P14 (639 ± 98 cells/mm2), decreased to 109 ± 96 cells/mm2 on P30 (P < 0.05 vs. P1 and P14, respectively), and further declined to a barely detectable level on P90.",n/a
FLT1,10.1002/ar.a.10103,rat,Sprague Dawley,male,67.0%,ns,hippocampus,n/a,n/a,7,90,n/a,n/a,days,decreased gene expression,n/a,n/a,Student t-test,number of cells expressing the gene,immunohistochemistry,"Flt-1- and Flk-1-positive cells in the hippocampus were counted, and the results showed that Flt-1-positive staining was highest on P7 (107 ± 16 cells/ mm2) and gradually decreased from 90 ± 6 cells/mm2 to 35 ± 0 cells/mm2 on P14–P90, respectively.",n/a
KDR,10.1002/ar.a.10103,rat,Sprague Dawley,male,n/a,,brain vessels,n/a,n/a,1,90,n/a,n/a,days,decreased gene expression,n/a,n/a,Student t-test,number of cells expressing the gene,immunohistochemistry,"A time-course analysis showed that both Flt-1 and Flk-1 were highly expressed in the cerebral vessel of rats on 1, 7, and 14 days after birth, and then declined in adults, consistent with the development of angiogenesis in neonates.",n/a
KDR,10.1002/ar.a.10103,rat,Sprague Dawley,male,123.0%,<0.05,cingulate cortex,n/a,n/a,1,30,n/a,n/a,days,increased gene expression,n/a,n/a,Student t-test,number of cells expressing the gene,immunohistochemistry,"In the neurons Flk-1 abruptly increased and reached its highest level in adults. For the Flk-1 receptor, the amount of positive cells did not significantly change in the cingulate cortex of rats from 1 (729 ± 492 cells/mm2) to 14 (625 ± 270 cells/mm2) days after birth. However, it significantly increased to 1,631 ± 480 per mm2 on day 30 (P < 0.05 vs. P1 and P14, respectively; Fig. 2), and further increased to 2,276 ± 210 cells/mm2 on day 90 (P < 0.05 vs. P30).",n/a
KDR,10.1002/ar.a.10103,rat,Sprague Dawley,male,40.0%,<0.05,cingulate cortex,n/a,n/a,30,90,n/a,n/a,days,increased gene expression,n/a,n/a,Student t-test,number of cells expressing the gene,immunohistochemistry,"In the neurons Flk-1 abruptly increased and reached its highest level in adults. For the Flk-1 receptor, the amount of positive cells did not significantly change in the cingulate cortex of rats from 1 (729 ± 492 cells/mm2) to 14 (625 ± 270 cells/mm2) days after birth. However, it significantly increased to 1,631 ± 480 per mm2 on day 30 (P < 0.05 vs. P1 and P14, respectively; Fig. 2), and further increased to 2,276 ± 210 cells/mm2 on day 90 (P < 0.05 vs. P30).",n/a
KDR,10.1002/ar.a.10103,rat,Sprague Dawley,male,813.0%,ns,hippocampus,n/a,n/a,1,30,n/a,n/a,days,increased gene expression,n/a,n/a,Student t-test,number of cells expressing the gene,immunohistochemistry,"Flk-1-positive cells in the hippocampus progressively increased from 1 (15 ± 5 cells/mm2) to 30 (137 ± 6 cells/mm2) days after birth, and abruptly increased to a very high level on day 90 (1,800 ± 30 cells/mm2).",n/a
KDR,10.1002/ar.a.10103,rat,Sprague Dawley,male,1213.0%,<0.05,hippocampus,n/a,n/a,30,90,n/a,n/a,days,increased gene expression,n/a,n/a,Student t-test,number of cells expressing the gene,immunohistochemistry,"Flk-1-positive cells in the hippocampus progressively increased from 1 (15 ± 5 cells/mm2) to 30 (137 ± 6 cells/mm2) days after birth, and abruptly increased to a very high level on day 90 (1,800 ± 30 cells/mm2).",n/a
HMGB2,10.1002/dvdy.24559,mouse,C57BL/6N,all,77.6%,<0.05,"brain, hippocampus dentate gyrus",n/a,n/a,2,4,n/a,n/a,months,decreased gene expression,4,4,Student t-test,number of cells expressing the gene,immunohistochemistry,"The brain (hippocampus dentate gyrus) was removed from WT mice aged 2 months (n=4) and 6 months (n=4). Immunohistochemistry, rabbit anti-HMGB2 (1:500; abcam, ab67282). Pvalue ＜ 0.05.",n/a
PTGS2,10.1007/s00210-007-0153-y,rat,Sprague Dawley,male,470.0%,<0.05,aorta,n/a,n/a,8,54,n/a,n/a,weeks,increased gene expression,3,3,Student t-test,number of cells expressing the gene,immunohistochemistry,Immunohistochemistry. P<0.05.,n/a
PTGS2,10.1007/s00210-007-0153-y,rat,Sprague Dawley,male,143.0%,<0.05,cremaster muscle arterioles,n/a,n/a,8,54,n/a,n/a,weeks,increased gene expression,3,3,Student t-test,number of cells expressing the gene,immunohistochemistry,Immunohistochemistry. P<0.05.,n/a
HOXB7,10.1002/stem.1897,mouse,FVB/N,all,53.0%,<0.05,bone epiphyseal part,n/a,n/a,11,90,n/a,n/a,days,decreased gene expression,3,3,two-tailed t-test,mRNA,immunohistochemistry,n/a,n/a
HOXB7,10.1002/stem.1897,mouse,FVB/N,all,65.5%,<0.05,bone epiphyseal part,n/a,n/a,11,180,n/a,n/a,days,decreased gene expression,3,3,two-tailed t-test,mRNA,immunohistochemistry,n/a,n/a
HOXB7,10.1002/stem.1897,mouse,FVB/N,all,86.0%,<0.05,bone metaphyseal part,n/a,n/a,11,90,n/a,n/a,days,decreased gene expression,3,3,two-tailed t-test,mRNA,immunohistochemistry,n/a,n/a
HOXB7,10.1002/stem.1897,mouse,FVB/N,all,93.0%,<0.05,bone metaphyseal part,n/a,n/a,11,180,n/a,n/a,days,decreased gene expression,3,3,two-tailed t-test,mRNA,immunohistochemistry,n/a,n/a
HOXB7,10.1002/stem.1897,mouse,FVB/N,all,87.0%,<0.05,bone diaphyseal part,n/a,n/a,11,90,n/a,n/a,days,decreased gene expression,3,3,two-tailed t-test,mRNA,immunohistochemistry,n/a,n/a
HOXB7,10.1002/stem.1897,mouse,FVB/N,all,95.0%,<0.05,bone diaphyseal part,n/a,n/a,11,180,n/a,n/a,days,decreased gene expression,3,3,two-tailed t-test,mRNA,immunohistochemistry,n/a,n/a
COL4A1,10.1016/S0378-5122(96)01066-3,human,n/a,female,35.0%,,skin,n/a,n/a,36.62,40.83,n/a,n/a,years,decreased gene expression,8,6,n/a,protein,immunostaining,The type IV Collagen level in the skin basal membrane was determined by immunostaining. Probably the antibody used was of the broad specificity and interacted with different Collagen IV subtypes.,n/a
COL4A1,10.1016/S0378-5122(96)01066-3,human,n/a,female,57.0%,,skin,n/a,n/a,36.62,46.67,n/a,n/a,years,decreased gene expression,8,6,n/a,protein,immunostaining,The type IV Collagen level in the skin basal membrane was determined by immunostaining. Probably the antibody used was of the broad specificity and interacted with different Collagen IV subtypes.,n/a
COL4A1,10.1016/S0378-5122(96)01066-3,human,n/a,female,71.0%,,skin,n/a,n/a,36.62,51.5,n/a,n/a,years,decreased gene expression,8,6,n/a,protein,immunostaining,The type IV Collagen level in the skin basal membrane was determined by immunostaining. Probably the antibody used was of the broad specificity and interacted with different Collagen IV subtypes.,n/a
COL4A1,10.1016/S0378-5122(96)01066-3,human,n/a,female,81.0%,,skin,n/a,n/a,36.62,56.8,n/a,n/a,years,decreased gene expression,8,5,n/a,protein,immunostaining,The type IV Collagen level in the skin basal membrane was determined by immunostaining. Probably the antibody used was of the broad specificity and interacted with different Collagen IV subtypes.,n/a
COL4A1,10.1016/S0378-5122(96)01066-3,human,n/a,female,87.0%,,skin,n/a,n/a,36.62,61.25,n/a,n/a,years,decreased gene expression,8,4,n/a,protein,immunostaining,The type IV Collagen level in the skin basal membrane was determined by immunostaining. Probably the antibody used was of the broad specificity and interacted with different Collagen IV subtypes.,n/a
COL4A2,10.1016/S0378-5122(96)01066-3,human,n/a,female,35.0%,,skin,n/a,n/a,36.62,40.83,n/a,n/a,years,decreased gene expression,8,6,n/a,protein,immunostaining,The type IV Collagen level in the skin basal membrane was determined by immunostaining. Probably the antibody used was of the broad specificity and interacted with different Collagen IV subtypes.,n/a
COL4A2,10.1016/S0378-5122(96)01066-3,human,n/a,female,57.0%,,skin,n/a,n/a,36.62,46.67,n/a,n/a,years,decreased gene expression,8,6,n/a,protein,immunostaining,The type IV Collagen level in the skin basal membrane was determined by immunostaining. Probably the antibody used was of the broad specificity and interacted with different Collagen IV subtypes.,n/a
COL4A2,10.1016/S0378-5122(96)01066-3,human,n/a,female,71.0%,,skin,n/a,n/a,36.62,51.5,n/a,n/a,years,decreased gene expression,8,6,n/a,protein,immunostaining,The type IV Collagen level in the skin basal membrane was determined by immunostaining. Probably the antibody used was of the broad specificity and interacted with different Collagen IV subtypes.,n/a
COL4A2,10.1016/S0378-5122(96)01066-3,human,n/a,female,81.0%,,skin,n/a,n/a,36.62,56.8,n/a,n/a,years,decreased gene expression,8,5,n/a,protein,immunostaining,The type IV Collagen level in the skin basal membrane was determined by immunostaining. Probably the antibody used was of the broad specificity and interacted with different Collagen IV subtypes.,n/a
COL4A2,10.1016/S0378-5122(96)01066-3,human,n/a,female,87.0%,,skin,n/a,n/a,36.62,61.25,n/a,n/a,years,decreased gene expression,8,4,n/a,protein,immunostaining,The type IV Collagen level in the skin basal membrane was determined by immunostaining. Probably the antibody used was of the broad specificity and interacted with different Collagen IV subtypes.,n/a
COL4A3,10.1016/S0378-5122(96)01066-3,human,n/a,female,35.0%,,skin,n/a,n/a,36.62,40.83,n/a,n/a,years,decreased gene expression,8,6,n/a,protein,immunostaining,The type IV Collagen level in the skin basal membrane was determined by immunostaining. Probably the antibody used was of the broad specificity and interacted with different Collagen IV subtypes.,n/a
COL4A3,10.1016/S0378-5122(96)01066-3,human,n/a,female,57.0%,,skin,n/a,n/a,36.62,46.67,n/a,n/a,years,decreased gene expression,8,6,n/a,protein,immunostaining,The type IV Collagen level in the skin basal membrane was determined by immunostaining. Probably the antibody used was of the broad specificity and interacted with different Collagen IV subtypes.,n/a
COL4A3,10.1016/S0378-5122(96)01066-3,human,n/a,female,71.0%,,skin,n/a,n/a,36.62,51.5,n/a,n/a,years,decreased gene expression,8,6,n/a,protein,immunostaining,The type IV Collagen level in the skin basal membrane was determined by immunostaining. Probably the antibody used was of the broad specificity and interacted with different Collagen IV subtypes.,n/a
COL4A3,10.1016/S0378-5122(96)01066-3,human,n/a,female,81.0%,,skin,n/a,n/a,36.62,56.8,n/a,n/a,years,decreased gene expression,8,5,n/a,protein,immunostaining,The type IV Collagen level in the skin basal membrane was determined by immunostaining. Probably the antibody used was of the broad specificity and interacted with different Collagen IV subtypes.,n/a
COL4A3,10.1016/S0378-5122(96)01066-3,human,n/a,female,87.0%,,skin,n/a,n/a,36.62,61.25,n/a,n/a,years,decreased gene expression,8,4,n/a,protein,immunostaining,The type IV Collagen level in the skin basal membrane was determined by immunostaining. Probably the antibody used was of the broad specificity and interacted with different Collagen IV subtypes.,n/a
COL4A4,10.1016/S0378-5122(96)01066-3,human,n/a,female,35.0%,,skin,n/a,n/a,36.62,40.83,n/a,n/a,years,decreased gene expression,8,6,n/a,protein,immunostaining,The type IV Collagen level in the skin basal membrane was determined by immunostaining. Probably the antibody used was of the broad specificity and interacted with different Collagen IV subtypes.,n/a
COL4A4,10.1016/S0378-5122(96)01066-3,human,n/a,female,57.0%,,skin,n/a,n/a,36.62,46.67,n/a,n/a,years,decreased gene expression,8,6,n/a,protein,immunostaining,The type IV Collagen level in the skin basal membrane was determined by immunostaining. Probably the antibody used was of the broad specificity and interacted with different Collagen IV subtypes.,n/a
COL4A4,10.1016/S0378-5122(96)01066-3,human,n/a,female,71.0%,,skin,n/a,n/a,36.62,51.5,n/a,n/a,years,decreased gene expression,8,6,n/a,protein,immunostaining,The type IV Collagen level in the skin basal membrane was determined by immunostaining. Probably the antibody used was of the broad specificity and interacted with different Collagen IV subtypes.,n/a
COL4A4,10.1016/S0378-5122(96)01066-3,human,n/a,female,81.0%,,skin,n/a,n/a,36.62,56.8,n/a,n/a,years,decreased gene expression,8,5,n/a,protein,immunostaining,The type IV Collagen level in the skin basal membrane was determined by immunostaining. Probably the antibody used was of the broad specificity and interacted with different Collagen IV subtypes.,n/a
COL4A4,10.1016/S0378-5122(96)01066-3,human,n/a,female,87.0%,,skin,n/a,n/a,36.62,61.25,n/a,n/a,years,decreased gene expression,8,4,n/a,protein,immunostaining,The type IV Collagen level in the skin basal membrane was determined by immunostaining. Probably the antibody used was of the broad specificity and interacted with different Collagen IV subtypes.,n/a
COL4A5,10.1016/S0378-5122(96)01066-3,human,n/a,female,35.0%,,skin,n/a,n/a,36.62,40.83,n/a,n/a,years,decreased gene expression,8,6,n/a,protein,immunostaining,The type IV Collagen level in the skin basal membrane was determined by immunostaining. Probably the antibody used was of the broad specificity and interacted with different Collagen IV subtypes.,n/a
COL4A5,10.1016/S0378-5122(96)01066-3,human,n/a,female,57.0%,,skin,n/a,n/a,36.62,46.67,n/a,n/a,years,decreased gene expression,8,6,n/a,protein,immunostaining,The type IV Collagen level in the skin basal membrane was determined by immunostaining. Probably the antibody used was of the broad specificity and interacted with different Collagen IV subtypes.,n/a
COL4A5,10.1016/S0378-5122(96)01066-3,human,n/a,female,71.0%,,skin,n/a,n/a,36.62,51.5,n/a,n/a,years,decreased gene expression,8,6,n/a,protein,immunostaining,The type IV Collagen level in the skin basal membrane was determined by immunostaining. Probably the antibody used was of the broad specificity and interacted with different Collagen IV subtypes.,n/a
COL4A5,10.1016/S0378-5122(96)01066-3,human,n/a,female,81.0%,,skin,n/a,n/a,36.62,56.8,n/a,n/a,years,decreased gene expression,8,5,n/a,protein,immunostaining,The type IV Collagen level in the skin basal membrane was determined by immunostaining. Probably the antibody used was of the broad specificity and interacted with different Collagen IV subtypes.,n/a
COL4A5,10.1016/S0378-5122(96)01066-3,human,n/a,female,87.0%,,skin,n/a,n/a,36.62,61.25,n/a,n/a,years,decreased gene expression,8,4,n/a,protein,immunostaining,The type IV Collagen level in the skin basal membrane was determined by immunostaining. Probably the antibody used was of the broad specificity and interacted with different Collagen IV subtypes.,n/a
COL4A6,10.1016/S0378-5122(96)01066-3,human,n/a,female,35.0%,,skin,n/a,n/a,36.62,40.83,n/a,n/a,years,decreased gene expression,8,6,n/a,protein,immunostaining,The type IV Collagen level in the skin basal membrane was determined by immunostaining. Probably the antibody used was of the broad specificity and interacted with different Collagen IV subtypes.,n/a
COL4A6,10.1016/S0378-5122(96)01066-3,human,n/a,female,57.0%,,skin,n/a,n/a,36.62,46.67,n/a,n/a,years,decreased gene expression,8,6,n/a,protein,immunostaining,The type IV Collagen level in the skin basal membrane was determined by immunostaining. Probably the antibody used was of the broad specificity and interacted with different Collagen IV subtypes.,n/a
COL4A6,10.1016/S0378-5122(96)01066-3,human,n/a,female,71.0%,,skin,n/a,n/a,36.62,51.5,n/a,n/a,years,decreased gene expression,8,6,n/a,protein,immunostaining,The type IV Collagen level in the skin basal membrane was determined by immunostaining. Probably the antibody used was of the broad specificity and interacted with different Collagen IV subtypes.,n/a
COL4A6,10.1016/S0378-5122(96)01066-3,human,n/a,female,81.0%,,skin,n/a,n/a,36.62,56.8,n/a,n/a,years,decreased gene expression,8,5,n/a,protein,immunostaining,The type IV Collagen level in the skin basal membrane was determined by immunostaining. Probably the antibody used was of the broad specificity and interacted with different Collagen IV subtypes.,n/a
COL4A6,10.1016/S0378-5122(96)01066-3,human,n/a,female,87.0%,,skin,n/a,n/a,36.62,61.25,n/a,n/a,years,decreased gene expression,8,4,n/a,protein,immunostaining,The type IV Collagen level in the skin basal membrane was determined by immunostaining. Probably the antibody used was of the broad specificity and interacted with different Collagen IV subtypes.,n/a
LOX,10.1007/BF03323883,rat,Wistar,male,41.0%,,skin,n/a,n/a,1,18,n/a,n/a,days,increased protein activity,n/a,n/a,n/a,n/a,lysyl oxidase assay,"The PBS soluble lysyl oxidase, representing the amount of newly synthesized enzyme, showed uniformly low rates of activity at all ages examined. By contrast, the activity of the 8 M urea extracted lysyl oxidase, i.e. the substrate-bound enzyme, appeared to be differently modulated during the variousstages oflife: a progressive increase during the period of growth, reaching a maximum at 60 d, was followed by a lowersteady state in the adult and old animals.",n/a
LOX,10.1007/BF03323883,rat,Wistar,male,186.0%,,skin,n/a,n/a,1,60,n/a,n/a,days,increased protein activity,n/a,n/a,n/a,n/a,lysyl oxidase assay,"The PBS soluble lysyl oxidase, representing the amount of newly synthesized enzyme, showed uniformly low rates of activity at all ages examined. By contrast, the activity of the 8 M urea extracted lysyl oxidase, i.e. the substrate-bound enzyme, appeared to be differently modulated during the variousstages oflife: a progressive increase during the period of growth, reaching a maximum at 60 d, was followed by a lowersteady state in the adult and old animals.",n/a
LOX,10.1007/BF03323883,rat,Wistar,male,56.0%,,skin,n/a,n/a,60,240,n/a,n/a,days,reduced protein activity,n/a,n/a,n/a,n/a,lysyl oxidase assay,"The PBS soluble lysyl oxidase, representing the amount of newly synthesized enzyme, showed uniformly low rates of activity at all ages examined. By contrast, the activity of the 8 M urea extracted lysyl oxidase, i.e. the substrate-bound enzyme, appeared to be differently modulated during the variousstages oflife: a progressive increase during the period of growth, reaching a maximum at 60 d, was followed by a lowersteady state in the adult and old animals.",n/a
