gene_id,gene_symbol,gene_name,organism,p_value,sample,change_type,change_evaluation_by,sex,measurement_method,statistical_method,age_units,min_age_of_controls,max_age_of_controls,min_age_of_experiment,max_age_of_experiment,n_of_controls,n_of_experiment,reference,fc,log_fc,change_value,q-value
,MDC1,Mediator of DNA damage checkpoint 1,human,"0,004",muscle,increased gene expression,mRNA,Woman,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,20,29,65,71,7,8,10.1016/j.exger.2003.11.011,1.38,,38,
,POLI,Polymerase (DNA directed) iota,human,"0,001",muscle,decreased gene expression,mRNA,Woman,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,20,29,65,71,7,8,10.1016/j.exger.2003.11.011,0.67,,-33,
,PRPF3,U4/U6-associated RNA splicing factor,human,"0,0003",muscle,increased gene expression,mRNA,Woman,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,20,29,65,71,7,8,10.1016/j.exger.2003.11.011,1.39,,39,
,PRPF31,PRP31 pre-mRNA processing factor 31 homolog (yeast),human,"0,001",muscle,increased gene expression,mRNA,Woman,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,20,29,65,71,7,8,10.1016/j.exger.2003.11.011,1.26,,26,
,PTBP1,Polypyrimidine tract binding protein 1,human,"0,002",muscle,increased gene expression,mRNA,Woman,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,20,29,65,71,7,8,10.1016/j.exger.2003.11.011,1.34,,34,
,RAD50,RAD50 homolog (S. cerevisiae),human,"0,009",muscle,increased gene expression,mRNA,Woman,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,20,29,65,71,7,8,10.1016/j.exger.2003.11.011,1.25,,25,
,RBFOX1,Ataxin 2-binding protein 1,human,"0,006",muscle,increased gene expression,mRNA,Woman,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,20,29,65,71,7,8,10.1016/j.exger.2003.11.011,1.28,,28,
,RBFOX2,RNA binding motif protein 9,human,"0,001",muscle,increased gene expression,mRNA,Woman,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,20,29,65,71,7,8,10.1016/j.exger.2003.11.011,1.21,,21,
,RBM15,RNA binding motif protein 15,human,"0,0006",muscle,increased gene expression,mRNA,Woman,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,20,29,65,71,7,8,10.1016/j.exger.2003.11.011,1.48,,48,
,RBM8A,RNA binding motif protein 8A,human,"0,004",muscle,increased gene expression,mRNA,Woman,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,20,29,65,71,7,8,10.1016/j.exger.2003.11.011,1.38,,38,
,RTCA,RTC domain containing 1,human,"0,014",muscle,decreased gene expression,mRNA,Woman,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,20,29,65,71,7,8,10.1016/j.exger.2003.11.011,0.79,,-21,
,SCAF11,"Splicing factor, arginine/serine-rich 2, interacting protein",human,"0,004",muscle,increased gene expression,mRNA,Woman,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,20,29,65,71,7,8,10.1016/j.exger.2003.11.011,1.48,,48,
,SNRNP70,Small nuclear ribonucleoprotein 70 kDa polypeptide (RNP antigen),human,"0,002",muscle,increased gene expression,mRNA,Woman,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,20,29,65,71,7,8,10.1016/j.exger.2003.11.011,1.45,,45,
,SON,SON DNA binding protein,human,"0,001",muscle,increased gene expression,mRNA,Woman,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,20,29,65,71,7,8,10.1016/j.exger.2003.11.011,1.24,,24,
,SRRM2,Serine/arginine repetitive matrix 2,human,"0,0006",muscle,increased gene expression,mRNA,Woman,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,20,29,65,71,7,8,10.1016/j.exger.2003.11.011,1.48,,48,
,SRSF1,"Splicing factor, arginine/serine-rich 1",human,"0,009",muscle,increased gene expression,mRNA,Woman,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,20,29,65,71,7,8,10.1016/j.exger.2003.11.011,1.39,,39,
,SRSF5,"Splicing factor, arginine/serine-rich 5",human,"0,0003",muscle,increased gene expression,mRNA,Woman,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,20,29,65,71,7,8,10.1016/j.exger.2003.11.011,1.4,,40,
,SRSF6,"Splicing factor, arginine/serine-rich 6",human,"0,009",muscle,increased gene expression,mRNA,Woman,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,20,29,65,71,7,8,10.1016/j.exger.2003.11.011,1.36,,36,
,TARDBP,TAR DNA binding protein,human,"0,0006",muscle,increased gene expression,mRNA,Woman,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,20,29,65,71,7,8,10.1016/j.exger.2003.11.011,1.24,,24,
,TNRC6A,Trinucleotide repeat containing 6,human,"0,001",muscle,increased gene expression,mRNA,Woman,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,20,29,65,71,7,8,10.1016/j.exger.2003.11.011,1.22,,22,
,TP63,Tumor protein p73-like,human,"0,006",muscle,increased gene expression,mRNA,Woman,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,20,29,65,71,7,8,10.1016/j.exger.2003.11.011,1.25,,25,
,U2AF1,U2(RNU2) small nuclear RNA auxillary factor 1,human,"0,004",muscle,increased gene expression,mRNA,Woman,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,20,29,65,71,7,8,10.1016/j.exger.2003.11.011,1.25,,25,
,UPF1,Regulator of nonsense transcripts 1,human,"0,014",muscle,increased gene expression,mRNA,Woman,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,20,29,65,71,7,8,10.1016/j.exger.2003.11.011,1.3,,30,
,UPF2,UPF2 regulator of nonsense transcripts homolog (yeast),human,"0,0006",muscle,increased gene expression,mRNA,Woman,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,20,29,65,71,7,8,10.1016/j.exger.2003.11.011,1.27,,27,
,WRN,Werner syndrome,human,"0,002",muscle,increased gene expression,mRNA,Woman,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,20,29,65,71,7,8,10.1016/j.exger.2003.11.011,1.51,,51,
,,follistatin,human,"0,07",muscle,increased gene expression,mRNA,Woman,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,20,29,65,71,7,8,10.1016/j.exger.2003.11.011,1.05,,50,
,,"Fanconi anemia, complementation group E",human,"0,0003",muscle,increased gene expression,mRNA,Woman,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,20,29,65,71,7,8,10.1016/j.exger.2003.11.011,2.23,,123,
,,Protein (peptidyl-prolyl cis/trans isomerase) NIMA-interacting 1 (Pin1),human,"0,004",muscle,increased gene expression,mRNA,Woman,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,20,29,65,71,7,8,10.1016/j.exger.2003.11.011,1.8,,80,
,,Homolog of yeast CHL12,human,"0,014",muscle,increased gene expression,mRNA,Woman,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,20,29,65,71,7,8,10.1016/j.exger.2003.11.011,1.78,,78,
,,Forkhead box O3A,human,"0,002",muscle,increased gene expression,mRNA,Woman,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,20,29,65,71,7,8,10.1016/j.exger.2003.11.011,1.63,,63,
,,Strand-exchange protein 1,human,"0,021",muscle,increased gene expression,mRNA,Woman,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,20,29,65,71,7,8,10.1016/j.exger.2003.11.011,1.38,,38,
,,Cisplatin resistance-associated overexpressed protein,human,"0,004",muscle,increased gene expression,mRNA,Woman,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,20,29,65,71,7,8,10.1016/j.exger.2003.11.011,1.64,,64,
,,Squamous cell carcinoma antigen recognised by T cells 3,human,"0,0006",muscle,increased gene expression,mRNA,Woman,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,20,29,65,71,7,8,10.1016/j.exger.2003.11.011,1.58,,58,
,,Double-stranded RNA-binding zinc finger protein JAZ,human,"0,009",muscle,increased gene expression,mRNA,Woman,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,20,29,65,71,7,8,10.1016/j.exger.2003.11.011,1.47,,47,
,,Splicing factor proline/glutamine rich (polypyrimidine tract binding protein associated),human,"0,006",muscle,increased gene expression,mRNA,Woman,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,20,29,65,71,7,8,10.1016/j.exger.2003.11.011,1.46,,46,
,,KH-type splicing regulatory protein (FUSE binding protein 2),human,"0,002",muscle,increased gene expression,mRNA,Woman,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,20,29,65,71,7,8,10.1016/j.exger.2003.11.011,1.45,,45,
,,Heterogeneous nuclear ribonucleoprotein D-like,human,"0,006",muscle,increased gene expression,mRNA,Woman,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,20,29,65,71,7,8,10.1016/j.exger.2003.11.011,1.33,,33,
,,"U5 snRNP-specific protein, 200 kDa",human,"0,001",muscle,increased gene expression,mRNA,Woman,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,20,29,65,71,7,8,10.1016/j.exger.2003.11.011,1.28,,28,
,,"U5 snRNP-specific protein, 116 kDa",human,"0,004",muscle,increased gene expression,mRNA,Woman,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,20,29,65,71,7,8,10.1016/j.exger.2003.11.011,1.27,,27,
,,NRAS-related gene,human,"0,006",muscle,increased gene expression,mRNA,Woman,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,20,29,65,71,7,8,10.1016/j.exger.2003.11.011,1.27,,27,
,,"RNA binding protein S1, serine-rich domain",human,"0,004",muscle,increased gene expression,mRNA,Woman,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,20,29,65,71,7,8,10.1016/j.exger.2003.11.011,1.26,,26,
,,Arginine/serine-rich 14 splicing factor,human,"0,0003",muscle,increased gene expression,mRNA,Woman,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,20,29,65,71,7,8,10.1016/j.exger.2003.11.011,1.25,,25,
,,Splicing factor YT521-B,human,"0,014",muscle,increased gene expression,mRNA,Woman,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,20,29,65,71,7,8,10.1016/j.exger.2003.11.011,1.2,,20,
,,Poly(A) polymerase α,human,"0,009",muscle,decreased gene expression,mRNA,Woman,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,20,29,65,71,7,8,10.1016/j.exger.2003.11.011,0.75,,-25,
,,Muscleblind-like 2,human,"0,014",muscle,decreased gene expression,mRNA,Woman,microarray,"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test",Years,20,29,65,71,7,8,10.1016/j.exger.2003.11.011,0.77,,-23,
,ABCD3,"ATP-binding cassette, sub-family D (ALD), member 3",human,"<0,01",frontal cortex,increased gene expression,mRNA,both,microarray,Spearman rank correlation,Years,,,26,106,,30,10.1038/nature02661,1.64,,64,0.005124108
,ABCG1,"ATP-binding cassette, sub-family G (WHITE), member 1",human,"<0,01",frontal cortex,increased gene expression,mRNA,both,microarray,Spearman rank correlation,Years,,,26,106,,30,10.1038/nature02661,1.77,,77,0.005124108
,ACAA2,acetyl-Coenzyme A acyltransferase 2,human,"<0,01",frontal cortex,increased gene expression,mRNA,both,microarray,Spearman rank correlation,Years,,,26,106,,30,10.1038/nature02661,1.54,,54,0.003812139
,ACSBG1,mRNA for KIAA0631 protein,human,"<0,01",frontal cortex,increased gene expression,mRNA,both,microarray,Spearman rank correlation,Years,,,26,106,,30,10.1038/nature02661,2,,100,0.005124108
,ACTA1,"actin, alpha 1, skeletal muscle",human,"<0,01",frontal cortex,decreased gene expression,mRNA,both,microarray,Spearman rank correlation,Years,,,26,106,,30,10.1038/nature02661,-1.89,,"-47,08994709",0.002142
,ADD3,adducin 3 (gamma),human,"<0,01",frontal cortex,increased gene expression,mRNA,both,microarray,Spearman rank correlation,Years,,,26,106,,30,10.1038/nature02661,1.81,,81,0.002142
,ADIRF,adipose specific 2,human,"<0,01",frontal cortex,increased gene expression,mRNA,both,microarray,Spearman rank correlation,Years,,,26,106,,30,10.1038/nature02661,1.67,,67,0.006478758
,AGT,"angiotensinogen (serine (or cysteine) proteinase inhibitor, clade A8",human,"<0,01",frontal cortex,increased gene expression,mRNA,both,microarray,Spearman rank correlation,Years,,,26,106,,30,10.1038/nature02661,1.59,,59,0.002142
,AHCYL1,S-adenosylhomocysteine hydrolase-like 1,human,"<0,01",frontal cortex,increased gene expression,mRNA,both,microarray,Spearman rank correlation,Years,,,26,106,,30,10.1038/nature02661,1.59,,59,0.002142
,AHCYL1,S-adenosylhomocysteine hydrolase-like 1,human,"<0,01",frontal cortex,increased gene expression,mRNA,both,microarray,Spearman rank correlation,Years,,,26,106,,30,10.1038/nature02661,1.63,,63,0.002142
,AHCYL2,KIAA0828 protein,human,"<0,01",frontal cortex,increased gene expression,mRNA,both,microarray,Spearman rank correlation,Years,,,26,106,,30,10.1038/nature02661,1.7,,70,0.002142
,AHNAK,hypothetical protein MGC5395,human,"<0,01",frontal cortex,increased gene expression,mRNA,both,microarray,Spearman rank correlation,Years,,,26,106,,30,10.1038/nature02661,1.93,,93,0.002142
,ALDH4A1,"aldehyde dehydrogenase 4 family, member A1",human,"<0,01",frontal cortex,increased gene expression,mRNA,both,microarray,Spearman rank correlation,Years,,,26,106,,30,10.1038/nature02661,1.56,,56,0.002142
,ALDH9A1,"aldehyde dehydrogenase 9 family, member A1",human,"<0,01",frontal cortex,increased gene expression,mRNA,both,microarray,Spearman rank correlation,Years,,,26,106,,30,10.1038/nature02661,1.58,,58,0.002142
,AMOT,angiomotin,human,"<0,01",frontal cortex,increased gene expression,mRNA,both,microarray,Spearman rank correlation,Years,,,26,106,,30,10.1038/nature02661,1.61,,61,0.002142
,AMOTL2,angiomotin like 2,human,"<0,01",frontal cortex,increased gene expression,mRNA,both,microarray,Spearman rank correlation,Years,,,26,106,,30,10.1038/nature02661,1.56,,56,0.009920598
,ANK2,"ankyrin 2, neuronal",human,"<0,01",frontal cortex,decreased gene expression,mRNA,both,microarray,Spearman rank correlation,Years,,,26,106,,30,10.1038/nature02661,-2.14,,"-53,27102804",0.002142
,ANP32B,acidic (leucine-rich) nuclear phosphoprotein 32B,human,"<0,01",frontal cortex,increased gene expression,mRNA,both,microarray,Spearman rank correlation,Years,,,26,106,,30,10.1038/nature02661,1.65,,65,0.003812139
,ANXA3,annexin A3,human,"<0,01",frontal cortex,increased gene expression,mRNA,both,microarray,Spearman rank correlation,Years,,,26,106,,30,10.1038/nature02661,2.27,,127,0.005124108
,ANXA5,annexin A5,human,"<0,01",frontal cortex,increased gene expression,mRNA,both,microarray,Spearman rank correlation,Years,,,26,106,,30,10.1038/nature02661,1.56,,56,0.007611041
,APOD,apolipoprotein D,human,"<0,01",frontal cortex,increased gene expression,mRNA,both,microarray,Spearman rank correlation,Years,,,26,106,,30,10.1038/nature02661,2.08,,108,0.002142
,ASCL1,achaete-scute complex-like 1 (Drosophila),human,"<0,01",frontal cortex,increased gene expression,mRNA,both,microarray,Spearman rank correlation,Years,,,26,106,,30,10.1038/nature02661,1.7,,70,0.002142
,ATP2A2,"ATPase, Ca++ transporting, cardiac muscle, slow twitch 2",human,"<0,01",frontal cortex,decreased gene expression,mRNA,both,microarray,Spearman rank correlation,Years,,,26,106,,30,10.1038/nature02661,-1.55,,"-35,48387097",0.002142
,ATP2B2,"ATPase, Ca++ transporting, plasma membrane 2",human,"<0,01",frontal cortex,decreased gene expression,mRNA,both,microarray,Spearman rank correlation,Years,,,26,106,,30,10.1038/nature02661,-2.55,,"-60,78431373",0.002142
,ATP2B2,"ATPase, Ca++ transporting, plasma membrane 2",human,"<0,01",frontal cortex,decreased gene expression,mRNA,both,microarray,Spearman rank correlation,Years,,,26,106,,30,10.1038/nature02661,-2.61,,"-61,68582375",0.002142
,ATP5F1A,"ATP synthase, H+ transporting, mitochondrial F1a",human,"<0,01",frontal cortex,decreased gene expression,mRNA,both,microarray,Spearman rank correlation,Years,,,26,106,,30,10.1038/nature02661,-2.27,,"-55,94713656",0.002142
,ATP6V1A,"ATPase, H+ transporting, lysosomal 70kDa, V1 subunit A",human,"<0,01",frontal cortex,decreased gene expression,mRNA,both,microarray,Spearman rank correlation,Years,,,26,106,,30,10.1038/nature02661,-1.7,,"-41,17647059",0.007611041
,ATP6V1G2,"ATPase, H+ transporting, lysosomal 13kDa, V1 subunit G isoform 2",human,"<0,01",frontal cortex,decreased gene expression,mRNA,both,microarray,Spearman rank correlation,Years,,,26,106,,30,10.1038/nature02661,-1.51,,"-33,77483444",0.002142
,ATP6V1H,"ATPase, H+ transporting, lysosomal 50/57kDa, V1 subunit H",human,"<0,01",frontal cortex,decreased gene expression,mRNA,both,microarray,Spearman rank correlation,Years,,,26,106,,30,10.1038/nature02661,-2.51,,"-60,15936255",0.005124108
,AZIN1,ornithine decarboxylase antizyme inhibitor,human,"<0,01",frontal cortex,decreased gene expression,mRNA,both,microarray,Spearman rank correlation,Years,,,26,106,,30,10.1038/nature02661,-1.71,,"-41,52046784",0.002142
,B3GALNT1,"UDP-Gal:betaGlcNAc beta 1,3-galactosyltransferase, polypeptide 3",human,"<0,01",frontal cortex,decreased gene expression,mRNA,both,microarray,Spearman rank correlation,Years,,,26,106,,30,10.1038/nature02661,-1.92,,"-47,91666667",0.002142
,BAMBI,putative transmembrane protein,human,"<0,01",frontal cortex,increased gene expression,mRNA,both,microarray,Spearman rank correlation,Years,,,26,106,,30,10.1038/nature02661,1.62,,62,0.002142
,BBOX1,gamma-butyrobetaine hydroxylase 1,human,"<0,01",frontal cortex,increased gene expression,mRNA,both,microarray,Spearman rank correlation,Years,,,26,106,,30,10.1038/nature02661,1.92,,92,0.002142
,BCL11A,B-cell CLL/lymphoma 11A (zinc finger protein),human,"<0,01",frontal cortex,decreased gene expression,mRNA,both,microarray,Spearman rank correlation,Years,,,26,106,,30,10.1038/nature02661,-2.69,,"-62,82527881",0.002142
,BCL2,B-cell CLL/lymphoma 2,human,"<0,01",frontal cortex,increased gene expression,mRNA,both,microarray,Spearman rank correlation,Years,,,26,106,,30,10.1038/nature02661,1.67,,67,0.002142
,BRD2,bromodomain containing 2,human,"<0,01",frontal cortex,decreased gene expression,mRNA,both,microarray,Spearman rank correlation,Years,,,26,106,,30,10.1038/nature02661,-1.94,,"-48,45360825",0.006478758
,C6orf106,hypothetical protein MGC4614,human,"<0,01",frontal cortex,decreased gene expression,mRNA,both,microarray,Spearman rank correlation,Years,,,26,106,,30,10.1038/nature02661,-1.61,,"-37,88819876",0.002142
,CA4,carbonic anhydrase IV,human,"<0,01",frontal cortex,decreased gene expression,mRNA,both,microarray,Spearman rank correlation,Years,,,26,106,,30,10.1038/nature02661,-1.51,,"-33,77483444",0.006478758
,CACNB2,"calcium channel, voltage-dependent, beta 2 subunit",human,"<0,01",frontal cortex,decreased gene expression,mRNA,both,microarray,Spearman rank correlation,Years,,,26,106,,30,10.1038/nature02661,-1.94,,"-48,45360825",0.002142
,CALB1,"calbindin 1, 28kDa",human,"<0,01",frontal cortex,decreased gene expression,mRNA,both,microarray,Spearman rank correlation,Years,,,26,106,,30,10.1038/nature02661,-2.5,,-60,0.002142
,CALB2,"calbindin 2, 29kDa (calretinin)",human,"<0,01",frontal cortex,decreased gene expression,mRNA,both,microarray,Spearman rank correlation,Years,,,26,106,,30,10.1038/nature02661,-1.57,,"-36,30573248",0.003812139
,CALD1,caldesmon 1,human,"<0,01",frontal cortex,increased gene expression,mRNA,both,microarray,Spearman rank correlation,Years,,,26,106,,30,10.1038/nature02661,1.86,,86,0.005124108
,CALM1,"calmodulin 1 (phosphorylase kinase, delta)",human,"<0,01",frontal cortex,decreased gene expression,mRNA,both,microarray,Spearman rank correlation,Years,,,26,106,,30,10.1038/nature02661,-4.06,,"-75,36945813",0.002142
,CALM1,"calmodulin 1 (phosphorylase kinase, delta)",human,"<0,01",frontal cortex,decreased gene expression,mRNA,both,microarray,Spearman rank correlation,Years,,,26,106,,30,10.1038/nature02661,-2.18,,"-54,12844037",0.002142
,CALM3,"calmodulin 3 (phosphorylase kinase, delta)",human,"<0,01",frontal cortex,decreased gene expression,mRNA,both,microarray,Spearman rank correlation,Years,,,26,106,,30,10.1038/nature02661,-1.6,,"-37,5",0.002142
,CAMK2A,calcium/calmodulin-dependent protein kinase (CaM kinase) II alpha,human,"<0,01",frontal cortex,decreased gene expression,mRNA,both,microarray,Spearman rank correlation,Years,,,26,106,,30,10.1038/nature02661,-1.74,,"-42,52873563",0.008787446
,CAMK4,calcium/calmodulin-dependent protein kinase IV,human,"<0,01",frontal cortex,decreased gene expression,mRNA,both,microarray,Spearman rank correlation,Years,,,26,106,,30,10.1038/nature02661,-1.98,,"-49,49494949",0.007611041
,CAP2,"CAP, adenylate cyclase-associated protein, 2 (yeast)",human,"<0,01",frontal cortex,decreased gene expression,mRNA,both,microarray,Spearman rank correlation,Years,,,26,106,,30,10.1038/nature02661,-1.59,,"-37,10691824",0.002142
,CAST,calpastatin,human,"<0,01",frontal cortex,increased gene expression,mRNA,both,microarray,Spearman rank correlation,Years,,,26,106,,30,10.1038/nature02661,1.6,,60,0.007611041
,CAST,calpastatin,human,"<0,01",frontal cortex,increased gene expression,mRNA,both,microarray,Spearman rank correlation,Years,,,26,106,,30,10.1038/nature02661,1.62,,62,0.009920598
,CAV1,"caveolin 1, caveolae protein, 22kDa",human,"<0,01",frontal cortex,increased gene expression,mRNA,both,microarray,Spearman rank correlation,Years,,,26,106,,30,10.1038/nature02661,1.57,,57,0.002142
